Start of log file. Seed: 1680644221
Day 1: 
ExxonMobil - Price: 100.720001     Price change: 0.720001% 
Coca-Cola - Price: 194.096115     Price change: 1.870002% 
Microsoft - Price: 172.542557     Price change: 2.560003% 
AT&T - Price: 255.010468     Price change: 0.039998% 
Day 77: 
ExxonMobil - Price: 291.122162     Price change: 0.580000% 
Shermin-Williams - Price: 208.576340     Price change: 0.260001% 
Boeing - Price: 194.173538     Price change: 5.840000% 
Duke Energy - Price: 197.244370     Price change: 1.600003% 
UnitedHealth Group - Price: 242.587433     Price change: 2.350002% 
JPMorgan Chase - Price: 192.349518     Price change: 1.249997% 
McDonalds - Price: 206.764801     Price change: 1.949997% 
Coca-Cola - Price: 194.329025     Price change: 0.119997% 
Microsoft - Price: 172.904892     Price change: 0.209998% 
AT&T - Price: 265.312897     Price change: 4.040002% 
Day 78: 
ExxonMobil - Price: 291.093048     Price change: -0.010001% 
Shermin-Williams - Price: 220.381760     Price change: 5.660000% 
Boeing - Price: 195.707504     Price change: 0.789997% 
Duke Energy - Price: 212.787231     Price change: 7.880003% 
UnitedHealth Group - Price: 246.614380     Price change: 1.659998% 
JPMorgan Chase - Price: 194.119141     Price change: 0.920004% 
McDonalds - Price: 209.700867     Price change: 1.420003% 
Coca-Cola - Price: 200.741882     Price change: 3.300000% 
Microsoft - Price: 173.146957     Price change: 0.139999% 
AT&T - Price: 272.104919     Price change: 2.560005% 
Day 79: 
ExxonMobil - Price: 296.769348     Price change: 1.949995% 
Shermin-Williams - Price: 221.417557     Price change: 0.470001% 
Boeing - Price: 199.954361     Price change: 2.170002% 
Duke Energy - Price: 212.106308     Price change: -0.320002% 
UnitedHealth Group - Price: 246.836334     Price change: 0.090001% 
JPMorgan Chase - Price: 194.099731     Price change: -0.009999% 
McDonalds - Price: 209.428253     Price change: -0.130001% 
Coca-Cola - Price: 203.150787     Price change: 1.200001% 
Microsoft - Price: 171.831039     Price change: -0.760001% 
AT&T - Price: 276.404175     Price change: 1.579999% 
Day 80: 
ExxonMobil - Price: 302.882782     Price change: 2.059995% 
Shermin-Williams - Price: 225.115234     Price change: 1.670002% 
Boeing - Price: 201.414032     Price change: 0.730002% 
Duke Energy - Price: 223.263107     Price change: 5.260004% 
UnitedHealth Group - Price: 251.575592     Price change: 1.920000% 
JPMorgan Chase - Price: 197.768219     Price change: 1.890001% 
McDonalds - Price: 212.946655     Price change: 1.680004% 
Coca-Cola - Price: 202.703857     Price change: -0.219999% 
Microsoft - Price: 170.937515     Price change: -0.520002% 
AT&T - Price: 271.622375     Price change: -1.730003% 
Day 81: 
ExxonMobil - Price: 292.887665     Price change: -3.299995% 
Shermin-Williams - Price: 227.771591     Price change: 1.179999% 
Boeing - Price: 197.325333     Price change: -2.029997% 
Duke Energy - Price: 223.888245     Price change: 0.280000% 
UnitedHealth Group - Price: 256.607117     Price change: 2.000005% 
JPMorgan Chase - Price: 197.985764     Price change: 0.110000% 
McDonalds - Price: 215.949203     Price change: 1.410000% 
Coca-Cola - Price: 208.906601     Price change: 3.060003% 
Microsoft - Price: 170.595642     Price change: -0.199999% 
AT&T - Price: 277.217804     Price change: 2.060003% 
Day 82: 
ExxonMobil - Price: 297.778900     Price change: 1.670004% 
Shermin-Williams - Price: 246.266647     Price change: 8.120001% 
Boeing - Price: 206.856140     Price change: 4.829997% 
Duke Energy - Price: 234.455765     Price change: 4.719998% 
UnitedHealth Group - Price: 258.865265     Price change: 0.880002% 
JPMorgan Chase - Price: 198.817307     Price change: 0.420001% 
McDonalds - Price: 215.474121     Price change: -0.219997% 
Coca-Cola - Price: 217.680679     Price change: 4.200001% 
Microsoft - Price: 173.171631     Price change: 1.509997% 
AT&T - Price: 281.320618     Price change: 1.479996% 
Day 83: 
ExxonMobil - Price: 301.918030     Price change: 1.390001% 
Shermin-Williams - Price: 246.488281     Price change: 0.089998% 
Boeing - Price: 209.814178     Price change: 1.429998% 
Duke Energy - Price: 242.685165     Price change: 3.510001% 
UnitedHealth Group - Price: 257.622711     Price change: -0.480000% 
JPMorgan Chase - Price: 203.747971     Price change: 2.479997% 
McDonalds - Price: 215.560318     Price change: 0.040003% 
Coca-Cola - Price: 221.120041     Price change: 1.580003% 
Microsoft - Price: 175.769211     Price change: 1.500003% 
AT&T - Price: 281.967651     Price change: 0.229999% 
Day 84: 
ExxonMobil - Price: 304.363556     Price change: 0.809997% 
Shermin-Williams - Price: 253.882935     Price change: 3.000002% 
Boeing - Price: 212.541763     Price change: 1.300000% 
Duke Energy - Price: 238.777939     Price change: -1.609998% 
UnitedHealth Group - Price: 264.681580     Price change: 2.740002% 
JPMorgan Chase - Price: 203.442352     Price change: -0.149998% 
McDonalds - Price: 214.525635     Price change: -0.479997% 
Coca-Cola - Price: 224.436844     Price change: 1.500001% 
Microsoft - Price: 176.015289     Price change: 0.140001% 
AT&T - Price: 283.941437     Price change: 0.700004% 
Day 85: 
ExxonMobil - Price: 307.711548     Price change: 1.099998% 
Shermin-Williams - Price: 253.603668     Price change: -0.109998% 
Boeing - Price: 214.199585     Price change: 0.779998% 
Duke Energy - Price: 237.751190     Price change: -0.430001% 
UnitedHealth Group - Price: 270.742798     Price change: 2.290004% 
JPMorgan Chase - Price: 204.866455     Price change: 0.700003% 
McDonalds - Price: 225.209015     Price change: 4.980002% 
Coca-Cola - Price: 235.075150     Price change: 4.740000% 
Microsoft - Price: 182.140625     Price change: 3.480002% 
AT&T - Price: 288.541290     Price change: 1.620001% 
Day 86: 
ExxonMobil - Price: 301.618866     Price change: -1.979998% 
Shermin-Williams - Price: 257.128754     Price change: 1.389998% 
Boeing - Price: 222.617630     Price change: 3.930001% 
Duke Energy - Price: 240.152481     Price change: 1.010002% 
UnitedHealth Group - Price: 271.879913     Price change: 0.419998% 
JPMorgan Chase - Price: 205.460571     Price change: 0.290002% 
McDonalds - Price: 222.731720     Price change: -1.099998% 
Coca-Cola - Price: 235.592316     Price change: 0.220000% 
Microsoft - Price: 183.397400     Price change: 0.690003% 
AT&T - Price: 285.684723     Price change: -0.990003% 
Day 87: 
ExxonMobil - Price: 303.458740     Price change: 0.610000% 
Shermin-Williams - Price: 257.463013     Price change: 0.129997% 
Boeing - Price: 223.641678     Price change: 0.460003% 
Duke Energy - Price: 241.209152     Price change: 0.440000% 
UnitedHealth Group - Price: 269.188293     Price change: -0.990003% 
JPMorgan Chase - Price: 206.857697     Price change: 0.679997% 
McDonalds - Price: 222.843079     Price change: 0.049997% 
Coca-Cola - Price: 232.317581     Price change: -1.390001% 
Microsoft - Price: 180.628098     Price change: -1.510001% 
AT&T - Price: 290.312805     Price change: 1.619996% 
Day 88: 
ExxonMobil - Price: 315.172241     Price change: 3.859998% 
Shermin-Williams - Price: 263.848083     Price change: 2.479995% 
Boeing - Price: 222.791840     Price change: -0.380000% 
Duke Energy - Price: 244.779053     Price change: 1.480002% 
UnitedHealth Group - Price: 270.561157     Price change: 0.510001% 
JPMorgan Chase - Price: 206.485352     Price change: -0.180001% 
McDonalds - Price: 228.926697     Price change: 2.730001% 
Coca-Cola - Price: 232.944839     Price change: 0.270000% 
Microsoft - Price: 188.467361     Price change: 4.340002% 
AT&T - Price: 289.325745     Price change: -0.339999% 
Day 89: 
ExxonMobil - Price: 334.996582     Price change: 6.290002% 
Shermin-Williams - Price: 264.982635     Price change: 0.430002% 
Boeing - Price: 223.816681     Price change: 0.459999% 
Duke Energy - Price: 249.405380     Price change: 1.890001% 
UnitedHealth Group - Price: 267.070923     Price change: -1.289998% 
JPMorgan Chase - Price: 208.385010     Price change: 0.919997% 
McDonalds - Price: 239.045258     Price change: 4.420000% 
Coca-Cola - Price: 238.465637     Price change: 2.370002% 
Microsoft - Price: 193.424057     Price change: 2.630002% 
AT&T - Price: 287.474060     Price change: -0.640000% 
Day 90: 
ExxonMobil - Price: 334.561096     Price change: -0.129997% 
Shermin-Williams - Price: 280.404633     Price change: 5.820003% 
Boeing - Price: 227.509659     Price change: 1.650001% 
Duke Energy - Price: 242.721313     Price change: -2.680001% 
UnitedHealth Group - Price: 266.670319     Price change: -0.149999% 
JPMorgan Chase - Price: 212.281815     Price change: 1.870002% 
McDonalds - Price: 239.905823     Price change: 0.360001% 
Coca-Cola - Price: 254.037445     Price change: 6.530001% 
Microsoft - Price: 200.000473     Price change: 3.399999% 
AT&T - Price: 295.609589     Price change: 2.830004% 
Day 91: 
ExxonMobil - Price: 337.672516     Price change: 0.930000% 
Shermin-Williams - Price: 289.517792     Price change: 3.250003% 
Boeing - Price: 235.859268     Price change: 3.670002% 
Duke Energy - Price: 237.672714     Price change: -2.079998% 
UnitedHealth Group - Price: 268.057007     Price change: 0.520001% 
JPMorgan Chase - Price: 211.199173     Price change: -0.510002% 
McDonalds - Price: 243.504410     Price change: 1.500000% 
Coca-Cola - Price: 273.141052     Price change: 7.519997% 
Microsoft - Price: 199.960480     Price change: -0.019997% 
AT&T - Price: 296.053009     Price change: 0.150002% 
Day 92: 
ExxonMobil - Price: 342.197327     Price change: 1.340000% 
Shermin-Williams - Price: 296.755737     Price change: 2.500000% 
Boeing - Price: 236.731949     Price change: 0.370001% 
Duke Energy - Price: 239.051208     Price change: 0.579997% 
UnitedHealth Group - Price: 273.364532     Price change: 1.979999% 
JPMorgan Chase - Price: 214.261566     Price change: 1.450002% 
McDonalds - Price: 251.296555     Price change: 3.200002% 
Coca-Cola - Price: 269.972626     Price change: -1.159996% 
Microsoft - Price: 209.638565     Price change: 4.839999% 
AT&T - Price: 293.743805     Price change: -0.779997% 
Day 93: 
ExxonMobil - Price: 345.927277     Price change: 1.090000% 
Shermin-Williams - Price: 297.616333     Price change: 0.290001% 
Boeing - Price: 234.554016     Price change: -0.919999% 
Duke Energy - Price: 246.868179     Price change: 3.269998% 
UnitedHealth Group - Price: 276.590240     Price change: 1.180002% 
JPMorgan Chase - Price: 221.567886     Price change: 3.410000% 
McDonalds - Price: 248.783585     Price change: -1.000002% 
Coca-Cola - Price: 265.302094     Price change: -1.730002% 
Microsoft - Price: 213.831329     Price change: 1.999997% 
AT&T - Price: 294.301910     Price change: 0.189997% 
Day 94: 
ExxonMobil - Price: 348.763885     Price change: 0.820002% 
Shermin-Williams - Price: 300.413940     Price change: 0.940005% 
Boeing - Price: 231.880096     Price change: -1.140002% 
Duke Energy - Price: 260.248444     Price change: 5.420004% 
UnitedHealth Group - Price: 275.456207     Price change: -0.410005% 
JPMorgan Chase - Price: 230.696487     Price change: 4.120002% 
McDonalds - Price: 250.972885     Price change: 0.880002% 
Coca-Cola - Price: 264.744965     Price change: -0.209998% 
Microsoft - Price: 213.275375     Price change: -0.259997% 
AT&T - Price: 292.948120     Price change: -0.460001% 
Day 95: 
ExxonMobil - Price: 348.903381     Price change: 0.039997% 
Shermin-Williams - Price: 304.890106     Price change: 1.489999% 
Boeing - Price: 232.807617     Price change: 0.400000% 
Duke Energy - Price: 263.970001     Price change: 1.430002% 
UnitedHealth Group - Price: 267.688354     Price change: -2.819996% 
JPMorgan Chase - Price: 232.772751     Price change: 0.899998% 
McDonalds - Price: 252.955566     Price change: 0.789998% 
Coca-Cola - Price: 264.824402     Price change: 0.030005% 
Microsoft - Price: 216.837067     Price change: 1.669996% 
AT&T - Price: 289.667114     Price change: -1.119996% 
Day 96: 
ExxonMobil - Price: 358.009766     Price change: 2.610002% 
Shermin-Williams - Price: 309.341492     Price change: 1.459997% 
Boeing - Price: 237.300812     Price change: 1.930003% 
Duke Energy - Price: 265.289856     Price change: 0.500002% 
UnitedHealth Group - Price: 272.720886     Price change: 1.879997% 
JPMorgan Chase - Price: 236.590225     Price change: 1.640001% 
McDonalds - Price: 254.296234     Price change: 0.530001% 
Coca-Cola - Price: 264.771423     Price change: -0.020005% 
Microsoft - Price: 216.706970     Price change: -0.059997% 
AT&T - Price: 292.129272     Price change: 0.849996% 
Day 97: 
ExxonMobil - Price: 369.000671     Price change: 3.070002% 
Shermin-Williams - Price: 308.227875     Price change: -0.359996% 
Boeing - Price: 235.307480     Price change: -0.840002% 
Duke Energy - Price: 265.395966     Price change: 0.039998% 
UnitedHealth Group - Price: 270.430023     Price change: -0.840003% 
JPMorgan Chase - Price: 246.385056     Price change: 4.139998% 
McDonalds - Price: 261.848846     Price change: 2.970006% 
Coca-Cola - Price: 262.970978     Price change: -0.680000% 
Microsoft - Price: 218.679001     Price change: 0.909999% 
AT&T - Price: 292.538239     Price change: 0.139995% 
Day 98: 
ExxonMobil - Price: 374.129791     Price change: 1.390003% 
Shermin-Williams - Price: 308.967621     Price change: 0.240000% 
Boeing - Price: 237.566437     Price change: 0.960002% 
Duke Energy - Price: 276.993774     Price change: 4.370002% 
UnitedHealth Group - Price: 273.648132     Price change: 1.189997% 
JPMorgan Chase - Price: 245.251678     Price change: -0.460002% 
McDonalds - Price: 269.756683     Price change: 3.020001% 
Coca-Cola - Price: 266.047729     Price change: 1.169997% 
Microsoft - Price: 217.323196     Price change: -0.619998% 
AT&T - Price: 291.192566     Price change: -0.459999% 
Day 99: 
ExxonMobil - Price: 380.489990     Price change: 1.699998% 
Shermin-Williams - Price: 307.021118     Price change: -0.630002% 
Boeing - Price: 239.514481     Price change: 0.820000% 
Duke Energy - Price: 275.913513     Price change: -0.389995% 
UnitedHealth Group - Price: 272.307251     Price change: -0.490002% 
JPMorgan Chase - Price: 246.625092     Price change: 0.560002% 
McDonalds - Price: 261.852814     Price change: -2.930000% 
Coca-Cola - Price: 278.897827     Price change: 4.829997% 
Microsoft - Price: 214.258942     Price change: -1.409999% 
AT&T - Price: 289.620117     Price change: -0.540003% 
Day 100: 
ExxonMobil - Price: 393.692993     Price change: 3.470000% 
Shermin-Williams - Price: 302.661407     Price change: -1.420004% 
Boeing - Price: 236.424744     Price change: -1.290000% 
Duke Energy - Price: 273.706207     Price change: -0.799999% 
UnitedHealth Group - Price: 283.226776     Price change: 4.010002% 
JPMorgan Chase - Price: 247.044357     Price change: 0.170001% 
McDonalds - Price: 265.702057     Price change: 1.470003% 
Coca-Cola - Price: 278.618927     Price change: -0.100001% 
Microsoft - Price: 214.751740     Price change: 0.230001% 
AT&T - Price: 289.793884     Price change: 0.059998% 
Day 101: 
ExxonMobil - Price: 392.866241     Price change: -0.209999% 
Shermin-Williams - Price: 303.175934     Price change: 0.170001% 
Boeing - Price: 236.424744     Price change: 0.000000% 
Duke Energy - Price: 281.753174     Price change: 2.940001% 
UnitedHealth Group - Price: 292.459961     Price change: 3.259997% 
JPMorgan Chase - Price: 254.208649     Price change: 2.900002% 
McDonalds - Price: 273.460571     Price change: 2.920005% 
Coca-Cola - Price: 279.371185     Price change: 0.269995% 
Microsoft - Price: 213.205521     Price change: -0.720003% 
AT&T - Price: 290.547363     Price change: 0.260005% 
Day 102: 
ExxonMobil - Price: 399.819977     Price change: 1.770001% 
Shermin-Williams - Price: 301.720703     Price change: -0.479995% 
Boeing - Price: 242.311722     Price change: 2.490001% 
Duke Energy - Price: 279.104706     Price change: -0.939996% 
UnitedHealth Group - Price: 293.776031     Price change: 0.450000% 
JPMorgan Chase - Price: 258.021790     Price change: 1.500004% 
McDonalds - Price: 271.601044     Price change: -0.679998% 
Coca-Cola - Price: 282.583954     Price change: 1.150000% 
Microsoft - Price: 213.653259     Price change: 0.210003% 
AT&T - Price: 288.891235     Price change: -0.570003% 
Day 103: 
ExxonMobil - Price: 391.863556     Price change: -1.990001% 
Shermin-Williams - Price: 311.496460     Price change: 3.240002% 
Boeing - Price: 244.395599     Price change: 0.859999% 
Duke Energy - Price: 276.592773     Price change: -0.899996% 
UnitedHealth Group - Price: 298.300171     Price change: 1.539996% 
JPMorgan Chase - Price: 260.472992     Price change: 0.949998% 
McDonalds - Price: 267.010986     Price change: -1.690000% 
Coca-Cola - Price: 282.838287     Price change: 0.090003% 
Microsoft - Price: 214.529236     Price change: 0.409999% 
AT&T - Price: 286.117889     Price change: -0.959997% 
Day 104: 
ExxonMobil - Price: 400.954803     Price change: 2.320003% 
Shermin-Williams - Price: 313.490051     Price change: 0.640004% 
Boeing - Price: 243.760178     Price change: -0.259997% 
Duke Energy - Price: 282.124634     Price change: 2.000002% 
UnitedHealth Group - Price: 299.523193     Price change: 0.409997% 
JPMorgan Chase - Price: 261.671173     Price change: 0.460002% 
McDonalds - Price: 271.870575     Price change: 1.819996% 
Coca-Cola - Price: 286.798035     Price change: 1.400004% 
Microsoft - Price: 220.493149     Price change: 2.780000% 
AT&T - Price: 288.607117     Price change: 0.870001% 
Day 105: 
ExxonMobil - Price: 398.468872     Price change: -0.620003% 
Shermin-Williams - Price: 315.527740     Price change: 0.650001% 
Boeing - Price: 240.883804     Price change: -1.180001% 
Duke Energy - Price: 283.507050     Price change: 0.490002% 
UnitedHealth Group - Price: 300.751251     Price change: 0.410004% 
JPMorgan Chase - Price: 264.549561     Price change: 1.100002% 
McDonalds - Price: 273.501801     Price change: 0.600001% 
Coca-Cola - Price: 288.002594     Price change: 0.420003% 
Microsoft - Price: 230.591736     Price change: 4.580000% 
AT&T - Price: 289.588379     Price change: 0.339999% 
Day 106: 
ExxonMobil - Price: 406.079620     Price change: 1.909998% 
Shermin-Williams - Price: 313.792328     Price change: -0.550003% 
Boeing - Price: 244.617508     Price change: 1.550002% 
Duke Energy - Price: 290.452972     Price change: 2.450000% 
UnitedHealth Group - Price: 303.397858     Price change: 0.879998% 
JPMorgan Chase - Price: 265.052216     Price change: 0.190004% 
McDonalds - Price: 280.804291     Price change: 2.669997% 
Coca-Cola - Price: 299.407501     Price change: 3.960002% 
Microsoft - Price: 232.021408     Price change: 0.620002% 
AT&T - Price: 297.465179     Price change: 2.719999% 
Day 107: 
ExxonMobil - Price: 410.262238     Price change: 1.029999% 
Shermin-Williams - Price: 313.196136     Price change: -0.189996% 
Boeing - Price: 238.771149     Price change: -2.390000% 
Duke Energy - Price: 286.212372     Price change: -1.459996% 
UnitedHealth Group - Price: 299.484039     Price change: -1.289995% 
JPMorgan Chase - Price: 269.558105     Price change: 1.700001% 
McDonalds - Price: 286.981995     Price change: 2.200003% 
Coca-Cola - Price: 300.575195     Price change: 0.390002% 
Microsoft - Price: 236.801056     Price change: 2.060003% 
AT&T - Price: 297.881622     Price change: 0.139997% 
Day 108: 
ExxonMobil - Price: 407.021179     Price change: -0.789997% 
Shermin-Williams - Price: 328.010315     Price change: 4.730000% 
Boeing - Price: 228.575623     Price change: -4.269999% 
Duke Energy - Price: 287.271362     Price change: 0.370002% 
UnitedHealth Group - Price: 303.077850     Price change: 1.200001% 
JPMorgan Chase - Price: 271.984131     Price change: 0.900001% 
McDonalds - Price: 286.867188     Price change: -0.040005% 
Coca-Cola - Price: 301.867676     Price change: 0.430002% 
Microsoft - Price: 236.801056     Price change: 0.000000% 
AT&T - Price: 301.724304     Price change: 1.290003% 
Day 109: 
ExxonMobil - Price: 408.527161     Price change: 0.370001% 
Shermin-Williams - Price: 329.223938     Price change: 0.369995% 
Boeing - Price: 233.604294     Price change: 2.200003% 
Duke Energy - Price: 286.955353     Price change: -0.110004% 
UnitedHealth Group - Price: 303.441559     Price change: 0.120005% 
JPMorgan Chase - Price: 269.808258     Price change: -0.800000% 
McDonalds - Price: 288.014648     Price change: 0.399997% 
Coca-Cola - Price: 301.052643     Price change: -0.269997% 
Microsoft - Price: 240.779312     Price change: 1.679999% 
AT&T - Price: 294.120850     Price change: -2.520001% 
Day 110: 
ExxonMobil - Price: 409.507629     Price change: 0.240001% 
Shermin-Williams - Price: 328.137512     Price change: -0.329996% 
Boeing - Price: 233.954697     Price change: 0.149998% 
Duke Energy - Price: 287.816223     Price change: 0.300001% 
UnitedHealth Group - Price: 311.300690     Price change: 2.589998% 
JPMorgan Chase - Price: 265.437378     Price change: -1.619995% 
McDonalds - Price: 288.360260     Price change: 0.119998% 
Coca-Cola - Price: 302.798737     Price change: 0.579996% 
Microsoft - Price: 248.074921     Price change: 3.029998% 
AT&T - Price: 292.885529     Price change: -0.420005% 
Day 111: 
ExxonMobil - Price: 405.535400     Price change: -0.970001% 
Shermin-Williams - Price: 328.170319     Price change: 0.009998% 
Boeing - Price: 234.609772     Price change: 0.280001% 
Duke Energy - Price: 290.953430     Price change: 1.090004% 
UnitedHealth Group - Price: 317.184265     Price change: 1.889998% 
JPMorgan Chase - Price: 273.081970     Price change: 2.879998% 
McDonalds - Price: 295.626953     Price change: 2.520005% 
Coca-Cola - Price: 297.742004     Price change: -1.669998% 
Microsoft - Price: 248.521454     Price change: 0.179999% 
AT&T - Price: 299.739044     Price change: 2.339998% 
Day 112: 
ExxonMobil - Price: 408.617462     Price change: 0.759998% 
Shermin-Williams - Price: 325.873138     Price change: -0.699996% 
Boeing - Price: 229.894119     Price change: -2.009998% 
Duke Energy - Price: 288.742188     Price change: -0.759999% 
UnitedHealth Group - Price: 319.975494     Price change: 0.880002% 
JPMorgan Chase - Price: 270.842712     Price change: -0.819995% 
McDonalds - Price: 300.475250     Price change: 1.640005% 
Coca-Cola - Price: 301.850830     Price change: 1.379995% 
Microsoft - Price: 255.902542     Price change: 2.970000% 
AT&T - Price: 300.967987     Price change: 0.410004% 
Day 113: 
ExxonMobil - Price: 411.110016     Price change: 0.609997% 
Shermin-Williams - Price: 324.276367     Price change: -0.489998% 
Boeing - Price: 227.365280     Price change: -1.100002% 
Duke Energy - Price: 293.968414     Price change: 1.809998% 
UnitedHealth Group - Price: 316.807739     Price change: -0.989999% 
JPMorgan Chase - Price: 278.697144     Price change: 2.899997% 
McDonalds - Price: 304.681915     Price change: 1.400004% 
Coca-Cola - Price: 317.577271     Price change: 5.210004% 
Microsoft - Price: 251.117157     Price change: -1.870003% 
AT&T - Price: 302.232056     Price change: 0.420001% 
Day 114: 
ExxonMobil - Price: 406.135590     Price change: -1.209999% 
Shermin-Williams - Price: 325.703186     Price change: 0.440001% 
Boeing - Price: 225.887405     Price change: -0.650000% 
Duke Energy - Price: 292.204590     Price change: -0.600005% 
UnitedHealth Group - Price: 314.716797     Price change: -0.660004% 
JPMorgan Chase - Price: 286.249847     Price change: 2.710004% 
McDonalds - Price: 305.169403     Price change: 0.159999% 
Coca-Cola - Price: 316.338715     Price change: -0.390001% 
Microsoft - Price: 252.598755     Price change: 0.590003% 
AT&T - Price: 298.182159     Price change: -1.339996% 
Day 115: 
ExxonMobil - Price: 410.562469     Price change: 1.090000% 
Shermin-Williams - Price: 335.246277     Price change: 2.929996% 
Boeing - Price: 229.998550     Price change: 1.819997% 
Duke Energy - Price: 296.324677     Price change: 1.410001% 
UnitedHealth Group - Price: 313.426453     Price change: -0.410002% 
JPMorgan Chase - Price: 290.514984     Price change: 1.490005% 
McDonalds - Price: 309.655396     Price change: 1.470001% 
Coca-Cola - Price: 319.059235     Price change: 0.860002% 
Microsoft - Price: 252.093552     Price change: -0.200002% 
AT&T - Price: 295.737061     Price change: -0.820002% 
Day 116: 
ExxonMobil - Price: 415.160767     Price change: 1.119999% 
Shermin-Williams - Price: 329.010681     Price change: -1.860004% 
Boeing - Price: 230.366547     Price change: 0.159999% 
Duke Energy - Price: 315.230194     Price change: 6.380001% 
UnitedHealth Group - Price: 309.320557     Price change: -1.310003% 
JPMorgan Chase - Price: 297.487335     Price change: 2.399997% 
McDonalds - Price: 317.892242     Price change: 2.660004% 
Coca-Cola - Price: 329.652008     Price change: 3.320002% 
Microsoft - Price: 254.614487     Price change: 1.000000% 
AT&T - Price: 301.503937     Price change: 1.950001% 
Day 117: 
ExxonMobil - Price: 425.954956     Price change: 2.600002% 
Shermin-Williams - Price: 335.656708     Price change: 2.020003% 
Boeing - Price: 226.726761     Price change: -1.579998% 
Duke Energy - Price: 321.314148     Price change: 1.930004% 
UnitedHealth Group - Price: 309.877319     Price change: 0.179995% 
JPMorgan Chase - Price: 298.707031     Price change: 0.409999% 
McDonalds - Price: 314.872253     Price change: -0.950004% 
Coca-Cola - Price: 330.146484     Price change: 0.149999% 
Microsoft - Price: 251.635498     Price change: -1.170000% 
AT&T - Price: 305.996338     Price change: 1.489998% 
Day 118: 
ExxonMobil - Price: 426.423492     Price change: 0.109997% 
Shermin-Williams - Price: 336.865082     Price change: 0.360003% 
Boeing - Price: 232.939072     Price change: 2.739999% 
Duke Energy - Price: 323.788269     Price change: 0.770001% 
UnitedHealth Group - Price: 309.815338     Price change: -0.020002% 
JPMorgan Chase - Price: 296.855042     Price change: -0.620002% 
McDonalds - Price: 326.491028     Price change: 3.689996% 
Coca-Cola - Price: 335.758972     Price change: 1.699999% 
Microsoft - Price: 249.924377     Price change: -0.680000% 
AT&T - Price: 314.717224     Price change: 2.849997% 
Day 119: 
ExxonMobil - Price: 429.792236     Price change: 0.790000% 
Shermin-Williams - Price: 334.742828     Price change: -0.630001% 
Boeing - Price: 233.754364     Price change: 0.350002% 
Duke Energy - Price: 327.220428     Price change: 1.060001% 
UnitedHealth Group - Price: 310.032196     Price change: 0.069996% 
JPMorgan Chase - Price: 305.018555     Price change: 2.750000% 
McDonalds - Price: 329.625336     Price change: 0.959998% 
Coca-Cola - Price: 340.694641     Price change: 1.470004% 
Microsoft - Price: 247.025253     Price change: -1.160001% 
AT&T - Price: 314.748688     Price change: 0.009997% 
Day 120: 
ExxonMobil - Price: 433.918243     Price change: 0.960000% 
Shermin-Williams - Price: 337.822449     Price change: 0.919996% 
Boeing - Price: 233.356979     Price change: -0.170001% 
Duke Energy - Price: 326.435089     Price change: -0.240003% 
UnitedHealth Group - Price: 314.062622     Price change: 1.300002% 
JPMorgan Chase - Price: 307.153687     Price change: 0.700001% 
McDonalds - Price: 330.976807     Price change: 0.410002% 
Coca-Cola - Price: 340.490234     Price change: -0.059997% 
Microsoft - Price: 239.910919     Price change: -2.880003% 
AT&T - Price: 320.980713     Price change: 1.980000% 
Day 121: 
ExxonMobil - Price: 436.521759     Price change: 0.600001% 
Shermin-Williams - Price: 340.829071     Price change: 0.890001% 
Boeing - Price: 234.220398     Price change: 0.369999% 
Duke Energy - Price: 327.479675     Price change: 0.319998% 
UnitedHealth Group - Price: 315.946991     Price change: 0.599998% 
JPMorgan Chase - Price: 307.368683     Price change: 0.069996% 
McDonalds - Price: 323.596039     Price change: -2.229995% 
Coca-Cola - Price: 346.414764     Price change: 1.740000% 
Microsoft - Price: 240.246796     Price change: 0.140000% 
AT&T - Price: 331.508881     Price change: 3.280000% 
Day 122: 
ExxonMobil - Price: 441.629059     Price change: 1.169999% 
Shermin-Williams - Price: 347.850159     Price change: 2.060003% 
Boeing - Price: 235.555450     Price change: 0.569998% 
Duke Energy - Price: 333.570801     Price change: 1.860001% 
UnitedHealth Group - Price: 316.104950     Price change: 0.049995% 
JPMorgan Chase - Price: 308.628906     Price change: 0.410004% 
McDonalds - Price: 317.447723     Price change: -1.899997% 
Coca-Cola - Price: 349.012878     Price change: 0.750001% 
Microsoft - Price: 240.703262     Price change: 0.189999% 
AT&T - Price: 333.928894     Price change: 0.730000% 
Day 123: 
ExxonMobil - Price: 443.572235     Price change: 0.440002% 
Shermin-Williams - Price: 345.797852     Price change: -0.589997% 
Boeing - Price: 245.755005     Price change: 4.330001% 
Duke Energy - Price: 326.298950     Price change: -2.180002% 
UnitedHealth Group - Price: 323.122467     Price change: 2.219996% 
JPMorgan Chase - Price: 328.504608     Price change: 6.440000% 
McDonalds - Price: 325.701355     Price change: 2.599997% 
Coca-Cola - Price: 357.703308     Price change: 2.490003% 
Microsoft - Price: 242.003067     Price change: 0.540003% 
AT&T - Price: 338.570496     Price change: 1.389997% 
Day 124: 
ExxonMobil - Price: 455.637390     Price change: 2.719998% 
Shermin-Williams - Price: 348.495087     Price change: 0.780003% 
Boeing - Price: 247.327835     Price change: 0.639999% 
Duke Energy - Price: 332.237579     Price change: 1.819996% 
UnitedHealth Group - Price: 321.959229     Price change: -0.359999% 
JPMorgan Chase - Price: 332.282410     Price change: 1.150000% 
